Official Full Name,"Official Symbol
","Disease Identifier
","Disease Name
"
ASH1 like histone lysine methyltransferase,ASH1L,OMIM:617796,"Intellectual developmental disorder, autosomal dominant 52"
ASXL transcriptional regulator 2,ASXL2,OMIM:617190,Shashi-Pena syndrome
ASXL transcriptional regulator 3,ASXL3,ORPHA:352577,Bainbridge-Ropers syndrome
ASXL transcriptional regulator 3,ASXL3,OMIM:615485,Bainbridge-Ropers syndrome
AT-rich interaction domain 1B,ARID1B,OMIM: 135900,Coffin-Siris syndrome 1
AT-rich interaction domain 1B,ARID1B,ORPHA:1465,Coffin-Siris syndrome
AT-rich interaction domain 1B,ARID1B,ORPHA:251056,6q25.2q25.3 microdeletion syndrome
ATPase H+ transporting V1 subunit B1,ATP6V1B1,OMIM:267300,"Renal tubular acidosis, distal, with progressive nerve deafness"
BCL2 apoptosis regulator,BCL2,ORPHA:545,Follicular lymphoma
BCL6 corepressor like 1,BCORL1,OMIM:301029,Shukla-Vernon syndrome
bone morphogenetic protein 15,BMP15,ORPHA:243,"46,XX gonadal dysgenesis"
bone morphogenetic protein 15,BMP15,OMIM:300510,Ovarian dysgenesis 2
bone morphogenetic protein receptor type 2,BMPR2,OMIM:178600,"Pulmonary hypertension, primary, 1"
bone morphogenetic protein receptor type 2,BMPR2,OMIM:265450,Pulmonary venoocclusive disease 1
BRCA1 interacting DNA helicase 1,BRIP1,ORPHA:84,Fanconi anemia
BRCA1 interacting DNA helicase 1,BRIP1,OMIM:114480,Breast cancer
BRCA1 interacting DNA helicase 1,BRIP1,ORPHA:145,Hereditary breast and/or ovarian cancer syndrome
BRCA1 interacting DNA helicase 1,BRIP1,OMIM:609054,"Fanconi anemia, complementation group J"
BRCA2 DNA repair associated,BRCA2,OMIM:114480,Breast cancer
BRCA2 DNA repair associated,BRCA2,OMIM:612555,"Breast-Ovarian cancer, familial, susceptibility to, 2"
BRCA2 DNA repair associated,BRCA2,ORPHA:70567,Cholangiocarcinoma
BRCA2 DNA repair associated,BRCA2,ORPHA:440437,Familial colorectal cancer Type X
BRCA2 DNA repair associated,BRCA2,ORPHA:1333,Familial pancreatic carcinoma
BRCA2 DNA repair associated,BRCA2,ORPHA:84,Fanconi anemia
BRCA2 DNA repair associated,BRCA2,OMIM:605724,"Fanconi anemia, complementation group D1"
BRCA2 DNA repair associated,BRCA2,OMIM:613029,Glioma susceptibility 3
BRCA2 DNA repair associated,BRCA2,ORPHA:145,Hereditary breast and/or ovarian cancer syndrome
BRCA2 DNA repair associated,BRCA2,OMIM:155255,MEDULLOBLASTOMA
BRCA2 DNA repair associated,BRCA2,ORPHA:654,Nephroblastoma
BRCA2 DNA repair associated,BRCA2,OMIM:613347,"Pancreatic cancer, susceptibility to, 2"
BRCA2 DNA repair associated,BRCA2,OMIM:176807,Prostate cancer
BRCA2 DNA repair associated,BRCA2,OMIM:194070,Wilms tumor 1
bromodomain containing 4,BRD4,ORPHA:199,Cornelia de Lange syndrome
bromodomain containing 4,BRD4,ORPHA:443167,NUT midline carcinoma
bromodomain containing 4,BRD4,OMIM:620568,Cornelia de Lange syndrome 6
bromodomain PHD finger transcription factor,BPTF,OMIM:617755,Neurodevelopmental disorder with dysmorphic facies and distal limb anomalies
bromodomain PHD finger transcription factor,BPTF,ORPHA:529962,17q24.2 microdeletion syndrome
bromodomain PHD finger transcription factor,BPTF,OMIM: 148000,"Kaposi sarcoma, susceptibility to"
cadherin related 23,CDH23,ORPHA:96253,Cushing disease
cadherin related 23,CDH23,OMIM:601386,"Deafness, autosomal recessive 12"
cadherin related 23,CDH23,OMIM:617540,"Pituitary adenoma 5, multiple types"
cadherin related 23,CDH23,ORPHA:2965,Prolactinoma
cadherin related 23,CDH23,ORPHA:91347,TSH-secreting pituitary adenoma
cadherin related 23,CDH23,ORPHA:231169,Usher syndrome type 1
cadherin related 23,CDH23,OMIM:601067,"Usher syndrome, type ID"
calcium and integrin binding family member 2,CIB2,ORPHA:231169,Usher syndrome type 1
calcium and integrin binding family member 2,CIB2,OMIM:609439,"Deafness, autosomal recessive 48"
CARD and death domain containing adaptor protein,CRADD,OMIM:614499,"Intellectual developmental disorder, autosomal recessive 34, with variant lissencephaly"
casein kinase 2 alpha 1,CSNK2A1,OMIM:617062,Okur-Chung neurodevelopmental syndrome
cathepsin C,CTSC,ORPHA:678,Papillon-Lefèvre syndrome
cathepsin C,CTSC,OMIM:170650,"Periodontitis, aggressive, 1"
cathepsin C,CTSC,OMIM:245000,Papillon-Lefevre syndrome
cathepsin C,CTSC,OMIM:245010,Haim-Munk syndrome
cathepsin C,CTSC,ORPHA:2342,Haim-Munk syndrome
CCCTC-binding factor,CTCF,OMIM:615502,"Intellectual developmental disorder, autosomal dominant 21"
CCCTC-binding factor,CTCF,ORPHA:363611,CTCF-related neurodevelopmental disorder
CDKN1A interacting zinc finger protein 1,CIZ1,ORPHA:420492,"Adult-onset cervical dystonia, DYT23 type"
"CEA cell adhesion molecule 16, tectorial membrane component",CEACAM16,OMIM:614614,"Deafness, autosomal dominant 4B"
"CEA cell adhesion molecule 16, tectorial membrane component",CEACAM16,OMIM:618410,"Deafness, autosomal recessive 113"
cell division cycle 14A,CDC14A,OMIM:608653,"Deafness, autosomal recessive 32, with or without immotile sperm"
checkpoint kinase 2,CHEK2,ORPHA:668,Osteosarcoma
checkpoint kinase 2,CHEK2,OMIM:259500,Osteosarcoma
checkpoint kinase 2,CHEK2,OMIM: 176807,Prostate cancer
checkpoint kinase 2,CHEK2,OMIM:609265,Li-Fraumeni syndrome 2
checkpoint kinase 2,CHEK2,ORPHA: 145,Hereditary breast and/or ovarian cancer syndrome
checkpoint kinase 2,CHEK2,ORPHA:440437,Familial colorectal cancer Type X
chloride voltage-gated channel 4,CLCN4,ORPHA:485350,CLCN4-related X-linked intellectual disability syndrome
chloride voltage-gated channel 4,CLCN4,OMIM:300114,"Raynaud-Claes syndrome
"
chromodomain helicase DNA binding protein 4,CHD4,OMIM:617159,Sifrim-Hitz-Weiss syndrome
chromodomain helicase DNA binding protein 8,CHD8,OMIM:615032,Intellectual developmental disorder with autism and macrocephaly
chromodomain helicase DNA binding protein 8,CHD8,ORPHA:261229,14q11.2 microduplication syndrome
clarin 1,CLRN1,ORPHA:791,Retinitis pigmentosa
clarin 1,CLRN1,OMIM:268000,Retinitis pigmentosa
clarin 1,CLRN1,OMIM:614180,Retinitis pigmentosa 61
clarin 1,CLRN1,ORPHA:231183,Usher syndrome type 3
clarin 1,CLRN1,OMIM:276902,"Usher syndrome, type IIIA"
claudin 16,CLDN16,OMIM:248250,"Hypomagnesemia 3, renal"
claudin 19,CLDN19,OMIM:248190,"Hypomagnesemia 5, renal, with or without ocular involvement"
claudin 19,CLDN19,ORPHA:2196,Primary hypomagnesemia with hypercalciuria and nephrocalcinosis with severe ocular involvement
cochlin,COCH,OMIM:601369,"Deafness, autosomal dominant 9"
cochlin,COCH,OMIM:618094,"Deafness, autosomal recessive 110"
coiled-coil domain containing 32,CCDC32,OMIM:619123,"Cardiofacioneurodevelopmental syndrome
"
collagen type IV alpha 5 chain,COL4A5,OMIM:301050,"Alport syndrome, X-linked"
collagen type IV alpha 5 chain,COL4A5,ORPHA:1018,X-linked Alport syndrome-diffuse leiomyomatosis
collagen type XI alpha 2 chain,COL11A2,ORPHA:166100,Autosomal dominant otospondylomegaepiphyseal dysplasia
collagen type XI alpha 2 chain,COL11A2,ORPHA:1427,Autosomal recessive otospondylomegaepiphyseal dysplasia
collagen type XI alpha 2 chain,COL11A2,OMIM:601868,"Deafness, autosomal dominant nonsyndromic sensorineural 13"
collagen type XI alpha 2 chain,COL11A2,OMIM:609706,"Deafness, autosomal recessive 53"
collagen type XI alpha 2 chain,COL11A2,ORPHA:2021,Fibrochondrogenesis
collagen type XI alpha 2 chain,COL11A2,OMIM:614524,Fibrochondrogenesis 2
